Words,Frequencies,Entity,Label,Sentiment_Score,Token,POS
found,1,Medium StaffGetting Lost,FAC,0.0,Not,PART
mediumhomepagehomepagepage,1,Medium StaffTo,GPE,,Found,VERB
nothing,1,4,CARDINAL,,–,PUNCT
find,1,27,CARDINAL,,MediumHomepageHomepagePage,NOUN
anything,1,2017,DATE,,Not,PART
medium,4,,,,Found404Out,ADV
apparently,1,,,,of,ADP
even,1,,,,nothing,PRON
page,1,,,,",",PUNCT
exist,1,,,,something,PRON
maybe,1,,,,.,PUNCT
stories,1,,,,You,PRON
finding,1,,,,can,AUX
know,1,,,,find,VERB
looking,1,,,,(,PUNCT
take,1,,,,just,ADV
somewhere,1,,,,about,ADV
new,1,,,,),PUNCT
homeapplause,1,,,,anything,PRON
staffgetting,1,,,,on,ADP
lost,2,,,,Medium,PROPN
canadajohn,1,,,,—,PUNCT
francis,1,,,,apparently,ADV
petersaug,1,,,,even,ADV
staffto,1,,,,a,DET
anyone,1,,,,page,NOUN
themselvesjamie,1,,,,that,PRON
varonjan,1,,,,does,AUX
staffthree,1,,,,n’t,PART
things,1,,,,exist,VERB
lostpriyaapr,1,,,,.,PUNCT
,,,,,Maybe,ADV
,,,,,these,DET
,,,,,stories,NOUN
,,,,,about,ADP
,,,,,finding,VERB
,,,,,what,PRON
,,,,,you,PRON
,,,,,did,AUX
,,,,,n’t,PART
,,,,,know,VERB
,,,,,you,PRON
,,,,,were,AUX
,,,,,looking,VERB
,,,,,for,ADP
,,,,,will,AUX
,,,,,take,VERB
,,,,,you,PRON
,,,,,somewhere,ADV
,,,,,new?HomeApplause,NOUN
,,,,,from,ADP
,,,,,Medium,PROPN
,,,,,StaffGetting,PROPN
,,,,,Lost,VERB
,,,,,in,ADP
,,,,,CanadaJohn,PROPN
,,,,,Francis,PROPN
,,,,,PetersAug,PROPN
,,,,,9,NUM
,,,,,",",PUNCT
,,,,,2018Applause,NUM
,,,,,from,ADP
,,,,,Medium,PROPN
,,,,,StaffTo,NOUN
,,,,,Anyone,PRON
,,,,,Who,PRON
,,,,,Has,AUX
,,,,,Lost,VERB
,,,,,ThemselvesJamie,PROPN
,,,,,VaronJan,PROPN
,,,,,4,NUM
,,,,,",",PUNCT
,,,,,2016Applause,NUM
,,,,,from,ADP
,,,,,Medium,PROPN
,,,,,StaffThree,PROPN
,,,,,Things,PROPN
,,,,,I,PRON
,,,,,LostPriyaApr,PROPN
,,,,,27,NUM
,,,,,",",PUNCT
,,,,,2017,NUM
,,,,,"
",SPACE
